Date,Portfolio_Value,Portfolio_Return,Number_of_Holdings,Volatility_Annualized,Sector_Communication,Sector_Consumer Discretionary,Sector_Consumer Staples,Sector_Energy,Sector_Financials,Sector_Healthcare,Sector_Industrials,Sector_Materials,Sector_Technology
2015-12-31,1106722.9707665443,-0.002414954110673712,20,0.13072065752672557,0.11928729867181849,0.1489026292593822,0.07933067206156776,0.0814201026998214,0.09089192499714105,0.15636947983743826,0.07955318649009331,0.061688109755776585,0.18255659622696097
2016-01-31,1019757.1278321743,-0.07750341619505922,20,0.15548465803118006,0.124154257459819,0.15014582663199025,0.08896659552660313,0.08908437274730681,0.08477968404422372,0.1612023266255931,0.07852152968778295,0.05908562515183977,0.1640597821248413
2016-02-29,1037762.935272932,0.03623926831919791,20,0.14292503560553896,0.12818472481143306,0.14021202598156016,0.09190891150146102,0.08933135820883069,0.07837401208341056,0.15722690334567296,0.0817337892461193,0.0671949675660051,0.16583330725550716
2016-03-31,1134974.7554488182,0.09923074748703013,20,0.17328068610522637,0.12240878077274907,0.13483692814282489,0.08782960004298644,0.08368848529404713,0.0740093475046815,0.15121239971026637,0.08665415624835494,0.07737596177001885,0.18198434051407078
2016-04-30,1193080.169832468,0.059554211232482154,20,0.18000327730183835,0.12063670023677374,0.13269063233742,0.0810835530032812,0.08655926386728312,0.07494417655204798,0.14805464132282578,0.08408905959760896,0.08536643561222207,0.18657553747053712
2016-05-31,1226099.5102095604,0.007397429852134873,20,0.18002040709989797,0.11484882769492333,0.13530085417209559,0.07524321118074435,0.08424376269254276,0.07235213339599214,0.1456504015307666,0.0789945538560407,0.07462985233955746,0.21873640313733705
2016-06-30,1241698.277454853,0.01583469563374834,20,0.18010074904954906,0.11036811887372007,0.13487879799019656,0.07599951054748859,0.0859319797610319,0.06714674043110236,0.15052809533996925,0.07667744730797141,0.07509363499210614,0.22337567475641376
2016-07-31,1397287.9494738579,0.11703380016476732,20,0.20732177746051197,0.1062583170042042,0.12499506573714511,0.07031388606949089,0.07390490522054825,0.06503506093774179,0.16557955659330922,0.07395048617626879,0.0743189111972994,0.24564381106399233
2016-08-31,1402636.9872717857,-0.009491885450756575,20,0.1962787458344114,0.1092016003064221,0.12421028368156065,0.06727261271525657,0.07417117324839956,0.07079791092710465,0.16006887093392114,0.07392997489199521,0.06387196071412021,0.2564756125812199
2016-09-30,1427741.866853714,-0.002600756346308884,20,0.18936081682971134,0.11017062862036128,0.1270477053195481,0.06562732595431703,0.07142904729532379,0.06784701516204186,0.15753831969659363,0.07793147451294581,0.06507099341970643,0.25733749001916206
2016-10-31,1430696.0824084282,-0.0032313766982367356,20,0.1816399851881264,0.11129053504297148,0.1212291166083164,0.06460988154820785,0.06959686264927442,0.07305891933015003,0.15453902999716504,0.07557167786481268,0.0651032251874434,0.2650007517716587
2016-11-30,1590156.9474344254,0.0884679132831284,20,0.1916304363884796,0.09583783473470833,0.10939029554417018,0.062413723166861154,0.06377684446188964,0.0810549349484536,0.14123535966658302,0.0763594394916456,0.07669359147170973,0.29323797651397876
