observation_date,T10Y2Y
2017-09-01,0.81
2017-09-04,
2017-09-05,0.77
2017-09-06,0.80
2017-09-07,0.78
2017-09-08,0.79
2017-09-11,0.82
2017-09-12,0.84
2017-09-13,0.85
2017-09-14,0.83
2017-09-15,0.81
2017-09-18,0.83
2017-09-19,0.84
2017-09-20,0.83
2017-09-21,0.82
2017-09-22,0.80
2017-09-25,0.78
2017-09-26,0.79
2017-09-27,0.84
2017-09-28,0.86
2017-09-29,0.86
2017-10-02,0.85
2017-10-03,0.86
2017-10-04,0.86
2017-10-05,0.86
2017-10-06,0.83
2017-10-09,
2017-10-10,0.84
2017-10-11,0.84
2017-10-12,0.82
2017-10-13,0.77
2017-10-16,0.76
2017-10-17,0.76
2017-10-18,0.75
2017-10-19,0.75
2017-10-20,0.79
2017-10-23,0.80
2017-10-24,0.82
2017-10-25,0.83
2017-10-26,0.83
2017-10-27,0.83
2017-10-30,0.79
2017-10-31,0.78
2017-11-01,0.76
2017-11-02,0.74
2017-11-03,0.71
2017-11-06,0.71
2017-11-07,0.69
2017-11-08,0.67
2017-11-09,0.70
2017-11-10,0.73
2017-11-13,0.70
2017-11-14,0.70
2017-11-15,0.65
2017-11-16,0.65
2017-11-17,0.62
2017-11-20,0.60
2017-11-21,0.59
2017-11-22,0.58
2017-11-23,
2017-11-24,0.59
2017-11-27,0.58
2017-11-28,0.59
2017-11-29,0.59
2017-11-30,0.64
2017-12-01,0.59
2017-12-04,0.57
2017-12-05,0.53
2017-12-06,0.55
2017-12-07,0.57
2017-12-08,0.58
2017-12-11,0.57
2017-12-12,0.57
2017-12-13,0.57
2017-12-14,0.53
2017-12-15,0.51
2017-12-18,0.55
2017-12-19,0.59
2017-12-20,0.62
2017-12-21,0.59
2017-12-22,0.57
2017-12-25,
2017-12-26,0.55
2017-12-27,0.53
2017-12-28,0.52
2017-12-29,0.51
2018-01-01,
2018-01-02,0.54
2018-01-03,0.50
2018-01-04,0.50
2018-01-05,0.51
2018-01-08,0.53
2018-01-09,0.57
2018-01-10,0.57
2018-01-11,0.56
2018-01-12,0.56
2018-01-15,
2018-01-16,0.51
2018-01-17,0.52
2018-01-18,0.57
2018-01-19,0.58
2018-01-22,0.58
2018-01-23,0.57
2018-01-24,0.57
2018-01-25,0.55
2018-01-26,0.53
2018-01-29,0.59
2018-01-30,0.60
2018-01-31,0.58
2018-02-01,0.62
2018-02-02,0.69
2018-02-05,0.69
2018-02-06,0.69
